shipment_id,quote_date,lane_id,carrier_name,nmfc_class,weight_lbs,weight_break_tier,base_cwt_rate,accessorials,accessorial_total,fuel_surcharge,quoted_rate_total
S00449,2025-04-13,ATL-EWR,BlueRidge LTL,60.0,174,L5C,21.03,none,0,8.05,44.64
S00472,2025-04-18,ATL-EWR,BlueRidge LTL,200.0,621,M5C,42.5,none,0,58.06,321.99
S00424,2025-04-29,ATL-EWR,Piedmont Freight Line,50.0,2284,2M,11.45,none,0,57.54,319.08
S00468,2025-05-08,ATL-EWR,BlueRidge LTL,60.0,1659,1M,16.0,none,0,58.41,323.9
S00481,2025-05-12,ATL-EWR,Palmetto Freight Systems,250.0,564,M5C,44.98,none,0,55.82,309.53
S00456,2025-05-15,ATL-EWR,BlueRidge LTL,77.5,7763,5M,13.41,none,0,229.06,1270.26
S00452,2025-05-29,ATL-EWR,BlueRidge LTL,100.0,4016,2M,18.83,none,0,166.36,922.55
S00421,2025-06-01,ATL-EWR,Piedmont Freight Line,85.0,4902,2M,16.38,none,0,176.68,979.76
S00422,2025-06-05,ATL-EWR,Piedmont Freight Line,125.0,2276,2M,20.82,none,0,104.24,578.04
S00432,2025-06-11,ATL-EWR,Piedmont Freight Line,70.0,6935,5M,11.79,none,0,179.88,997.54
S00413,2025-06-20,ATL-EWR,Piedmont Freight Line,100.0,3957,2M,18.63,none,0,162.2,899.49
S00462,2025-06-20,ATL-EWR,BlueRidge LTL,70.0,6138,5M,11.51,liftgate,95,155.45,957.06
S00451,2025-06-21,ATL-EWR,BlueRidge LTL,250.0,502,M5C,52.71,inside_delivery,150,58.21,472.81
S00438,2025-06-28,ATL-EWR,Piedmont Freight Line,125.0,5642,5M,16.99,none,0,210.89,1169.46
S00457,2025-07-09,ATL-EWR,BlueRidge LTL,125.0,2799,2M,24.85,inside_delivery,150,153.01,998.53
S00443,2025-07-21,ATL-EWR,Piedmont Freight Line,200.0,1154,1M,33.48,none,0,85.0,471.37
S00431,2025-07-25,ATL-EWR,Piedmont Freight Line,150.0,5286,5M,20.4,residential,110,237.23,1425.52
S00465,2025-07-26,ATL-EWR,BlueRidge LTL,125.0,6441,5M,21.55,none,0,305.32,1693.14
S00434,2025-08-05,ATL-EWR,Piedmont Freight Line,70.0,7965,5M,12.09,none,0,211.88,1174.97
S00439,2025-08-05,ATL-EWR,Piedmont Freight Line,200.0,7070,5M,25.89,residential,110,402.63,2342.75
S00475,2025-08-06,ATL-EWR,BlueRidge LTL,65.0,6672,5M,12.16,none,0,178.47,989.71
S00436,2025-08-07,ATL-EWR,Piedmont Freight Line,125.0,5622,5M,18.38,none,0,227.34,1260.68
S00455,2025-08-09,ATL-EWR,BlueRidge LTL,77.5,1183,1M,18.65,none,0,48.55,269.23
S00474,2025-08-09,ATL-EWR,BlueRidge LTL,85.0,2496,2M,16.19,liftgate,95,88.89,587.91
S00467,2025-08-12,ATL-EWR,BlueRidge LTL,50.0,1990,1M,14.01,none,0,61.33,340.12
S00487,2025-08-12,ATL-EWR,Palmetto Freight Systems,250.0,5344,5M,28.06,none,0,329.94,1829.66
S00458,2025-08-17,ATL-EWR,BlueRidge LTL,65.0,2109,2M,15.87,residential,110,73.64,518.36
S00411,2025-08-18,ATL-EWR,Piedmont Freight Line,110.0,4136,2M,18.79,residential,110,170.99,1058.2
S00433,2025-08-20,ATL-EWR,Piedmont Freight Line,110.0,1236,1M,24.3,none,0,66.07,366.38
S00488,2025-08-29,ATL-EWR,Crossroads Freight Co,85.0,2154,2M,15.71,liftgate,95,74.46,507.91
S00454,2025-08-30,ATL-EWR,BlueRidge LTL,150.0,3993,2M,23.01,none,0,202.1,1120.74
S00419,2025-09-02,ATL-EWR,Piedmont Freight Line,65.0,6167,5M,11.21,none,0,152.02,843.04
S00410,2025-09-05,ATL-EWR,Piedmont Freight Line,175.0,3596,2M,24.22,none,0,191.61,1062.57
S00484,2025-09-05,ATL-EWR,Palmetto Freight Systems,77.5,6130,5M,10.78,limited_access,85,145.36,891.08
S00491,2025-09-05,ATL-EWR,Crossroads Freight Co,85.0,7484,5M,13.87,none,0,228.41,1266.62
S00464,2025-09-11,ATL-EWR,BlueRidge LTL,250.0,3805,2M,42.55,none,0,356.15,1975.02
S00416,2025-09-24,ATL-EWR,Piedmont Freight Line,250.0,1967,1M,39.99,residential,110,173.05,1069.62
S00453,2025-09-26,ATL-EWR,BlueRidge LTL,85.0,5633,5M,14.66,none,0,181.68,1007.5
S00460,2025-10-05,ATL-EWR,BlueRidge LTL,92.5,1779,1M,19.56,none,0,76.57,424.6
S00486,2025-10-10,ATL-EWR,Palmetto Freight Systems,50.0,7435,5M,9.04,none,0,147.88,820.08
S00415,2025-10-21,ATL-EWR,Piedmont Freight Line,77.5,3206,2M,14.48,liftgate,95,102.14,661.43
S00483,2025-10-23,ATL-EWR,Palmetto Freight Systems,77.5,1791,1M,17.01,none,0,67.02,371.66
S00428,2025-10-24,ATL-EWR,Piedmont Freight Line,92.5,5929,5M,12.34,none,0,160.91,892.31
S00412,2025-10-27,ATL-EWR,Piedmont Freight Line,110.0,2138,2M,19.03,liftgate,95,89.51,591.35
S00425,2025-10-27,ATL-EWR,Piedmont Freight Line,175.0,6633,5M,20.16,none,0,294.19,1631.4
S00447,2025-10-30,ATL-EWR,BlueRidge LTL,70.0,1485,1M,18.17,liftgate,95,59.36,424.18
S00490,2025-11-02,ATL-EWR,Crossroads Freight Co,250.0,901,M5C,48.36,none,0,95.85,531.56
S00442,2025-11-06,ATL-EWR,Piedmont Freight Line,60.0,385,L5C,18.37,none,0,15.56,86.29
S00450,2025-11-11,ATL-EWR,BlueRidge LTL,55.0,3748,2M,12.77,none,0,105.33,584.1
S00489,2025-11-17,ATL-EWR,Crossroads Freight Co,250.0,3252,2M,35.66,residential,110,255.14,1524.86
S00440,2025-11-19,ATL-EWR,Piedmont Freight Line,65.0,399,L5C,19.74,residential,110,17.33,206.1
S00427,2025-11-21,ATL-EWR,Piedmont Freight Line,70.0,2187,2M,13.66,liftgate,95,65.72,459.45
S00420,2025-11-28,ATL-EWR,Piedmont Freight Line,150.0,5976,5M,20.19,none,0,265.49,1472.28
S00473,2025-11-28,ATL-EWR,BlueRidge LTL,60.0,6092,5M,11.67,none,0,156.46,867.66
S00470,2025-12-09,ATL-EWR,BlueRidge LTL,125.0,6818,5M,21.08,liftgate,95,316.21,1848.54
S00479,2025-12-09,ATL-EWR,Palmetto Freight Systems,125.0,4819,2M,22.98,liftgate,95,243.6,1445.86
S00459,2025-12-11,ATL-EWR,BlueRidge LTL,175.0,1971,1M,36.74,none,0,159.32,883.48
S00492,2025-12-11,ATL-EWR,Crossroads Freight Co,175.0,3276,2M,30.72,limited_access,85,221.43,1312.94
S00423,2025-12-16,ATL-EWR,Piedmont Freight Line,150.0,5836,5M,20.16,none,0,258.82,1435.3
S00485,2025-12-21,ATL-EWR,Palmetto Freight Systems,110.0,5518,5M,15.22,none,0,184.71,1024.29
S00238,2025-01-01,ATL-MCO,Cardinal Motor Freight,175.0,5200,5M,26.99,none,0,308.81,1712.5
S00291,2025-01-01,ATL-MCO,Crossroads Freight Co,92.5,7274,5M,19.37,none,0,309.94,1718.76
S00289,2025-01-11,ATL-MCO,Crossroads Freight Co,200.0,2330,2M,38.57,none,0,197.7,1096.36
S00285,2025-01-15,ATL-MCO,Crossroads Freight Co,55.0,2281,2M,15.84,limited_access,85,79.51,525.92
S00245,2025-01-21,ATL-MCO,Cardinal Motor Freight,100.0,4589,2M,24.55,none,0,247.85,1374.44
S00247,2025-01-21,ATL-MCO,Cardinal Motor Freight,70.0,5692,5M,14.13,limited_access,85,176.96,1066.33
S00273,2025-01-22,ATL-MCO,BlueRidge LTL,250.0,687,M5C,63.6,none,0,96.12,533.04
S00248,2025-01-26,ATL-MCO,Cardinal Motor Freight,200.0,4940,2M,39.66,none,0,431.02,2390.22
S00282,2025-01-31,ATL-MCO,BlueRidge LTL,65.0,6968,5M,15.0,liftgate;inside_delivery,245,229.96,1520.25
S00264,2025-02-12,ATL-MCO,Cardinal Motor Freight,150.0,6589,5M,25.68,none,0,372.28,2064.44
S00255,2025-02-21,ATL-MCO,Cardinal Motor Freight,110.0,4408,2M,25.67,none,0,248.92,1380.36
S00272,2025-03-20,ATL-MCO,Cardinal Motor Freight,150.0,7935,5M,24.73,liftgate;residential,205,431.75,2599.24
S00242,2025-03-28,ATL-MCO,Cardinal Motor Freight,250.0,6627,5M,40.36,none,0,588.36,3262.72
S00292,2025-04-04,ATL-MCO,Crossroads Freight Co,125.0,166,L5C,49.6,inside_delivery,150,18.11,250.45
S00249,2025-04-08,ATL-MCO,Cardinal Motor Freight,150.0,500,M5C,45.68,none,0,50.25,278.64
S00288,2025-04-18,ATL-MCO,Crossroads Freight Co,65.0,998,M5C,18.52,none,0,40.65,225.44
S00261,2025-04-25,ATL-MCO,Cardinal Motor Freight,60.0,3612,2M,15.31,liftgate,95,121.65,769.58
S00267,2025-04-25,ATL-MCO,Cardinal Motor Freight,110.0,773,M5C,32.23,none,0,54.81,303.94
S00279,2025-05-05,ATL-MCO,BlueRidge LTL,100.0,6622,5M,21.61,liftgate,95,314.79,1840.66
S00259,2025-05-06,ATL-MCO,Cardinal Motor Freight,150.0,2155,2M,31.98,none,0,151.62,840.83
S00263,2025-05-13,ATL-MCO,Cardinal Motor Freight,85.0,4965,2M,21.31,limited_access,85,232.78,1375.89
S00237,2025-05-15,ATL-MCO,Cardinal Motor Freight,100.0,4500,2M,21.0,none,0,207.93,1153.05
S00260,2025-05-19,ATL-MCO,Cardinal Motor Freight,150.0,4378,2M,33.21,none,0,319.88,1773.88
S00251,2025-05-24,ATL-MCO,Cardinal Motor Freight,50.0,6209,5M,11.43,none,0,156.1,865.67
S00275,2025-06-03,ATL-MCO,BlueRidge LTL,77.5,1929,1M,22.4,limited_access,85,95.07,612.23
S00274,2025-06-13,ATL-MCO,BlueRidge LTL,250.0,2193,2M,52.67,none,0,254.11,1409.16
S00269,2025-06-14,ATL-MCO,Cardinal Motor Freight,200.0,1514,1M,48.92,liftgate,95,162.94,998.57
S00277,2025-06-14,ATL-MCO,BlueRidge LTL,100.0,6739,5M,20.84,none,0,308.95,1713.25
S00246,2025-06-17,ATL-MCO,Cardinal Motor Freight,60.0,3522,2M,17.76,none,0,137.61,763.09
S00278,2025-06-21,ATL-MCO,BlueRidge LTL,92.5,5673,5M,19.3,residential;limited_access,195,240.92,1531.03
S00286,2025-06-25,ATL-MCO,Crossroads Freight Co,77.5,508,M5C,26.02,none,0,29.08,161.25
S00250,2025-07-14,ATL-MCO,Cardinal Motor Freight,100.0,3977,2M,22.24,liftgate;residential,205,194.6,1284.15
S00256,2025-07-19,ATL-MCO,Cardinal Motor Freight,77.5,6822,5M,16.94,none,0,254.25,1409.96
S00280,2025-08-01,ATL-MCO,BlueRidge LTL,92.5,1604,1M,29.83,liftgate;limited_access,180,105.26,763.71
S00244,2025-08-03,ATL-MCO,Cardinal Motor Freight,250.0,1078,1M,55.13,none,0,130.75,725.07
S00283,2025-08-04,ATL-MCO,BlueRidge LTL,77.5,3561,2M,20.82,none,0,163.07,904.31
S00240,2025-08-07,ATL-MCO,Cardinal Motor Freight,92.5,967,M5C,31.67,inside_delivery,150,67.37,523.58
S00243,2025-08-21,ATL-MCO,Cardinal Motor Freight,250.0,1881,1M,58.39,none,0,241.64,1340.03
S00239,2025-08-23,ATL-MCO,Cardinal Motor Freight,85.0,175,L5C,27.59,residential,110,10.62,168.9
S00252,2025-08-27,ATL-MCO,Cardinal Motor Freight,110.0,3437,2M,24.83,none,0,187.72,1041.0
S00284,2025-08-27,ATL-MCO,Crossroads Freight Co,60.0,2013,2M,18.17,none,0,80.47,446.25
S00241,2025-09-16,ATL-MCO,Cardinal Motor Freight,60.0,2268,2M,15.89,liftgate;residential,205,79.27,644.59
S00253,2025-09-20,ATL-MCO,Cardinal Motor Freight,110.0,1650,1M,27.06,limited_access,85,98.23,629.72
S00290,2025-09-24,ATL-MCO,Crossroads Freight Co,125.0,502,M5C,41.76,none,0,46.12,255.74
S00276,2025-10-03,ATL-MCO,BlueRidge LTL,200.0,7356,5M,34.29,none,0,554.94,3077.38
S00262,2025-10-17,ATL-MCO,Cardinal Motor Freight,100.0,3258,2M,22.54,none,0,161.53,895.78
S00266,2025-10-28,ATL-MCO,Cardinal Motor Freight,250.0,5300,5M,38.13,limited_access,85,444.6,2550.51
S00287,2025-11-01,ATL-MCO,Crossroads Freight Co,92.5,3837,2M,19.87,limited_access,85,167.71,1015.04
S00270,2025-11-04,ATL-MCO,Cardinal Motor Freight,110.0,4968,2M,26.21,none,0,286.48,1588.65
S00271,2025-11-09,ATL-MCO,Cardinal Motor Freight,125.0,5128,5M,23.7,none,0,267.4,1482.85
S00254,2025-11-10,ATL-MCO,Cardinal Motor Freight,250.0,2120,2M,41.51,none,0,193.59,1073.55
S00257,2025-11-15,ATL-MCO,Cardinal Motor Freight,92.5,6327,5M,17.34,none,0,241.29,1338.08
S00258,2025-11-18,ATL-MCO,Cardinal Motor Freight,110.0,2742,2M,23.8,none,0,143.6,796.33
S00265,2025-11-18,ATL-MCO,Cardinal Motor Freight,125.0,4115,2M,27.89,none,0,252.52,1400.34
S00268,2025-11-18,ATL-MCO,Cardinal Motor Freight,125.0,7225,5M,24.06,none,0,382.5,2121.16
S00281,2025-11-29,ATL-MCO,BlueRidge LTL,200.0,6867,5M,33.39,none,0,504.43,2797.28
S00080,2025-01-07,CLT-ATL,Palmetto Freight Systems,125.0,839,M5C,48.92,residential,110,90.29,610.69
S00104,2025-01-14,CLT-ATL,Crossroads Freight Co,200.0,6037,5M,37.53,none,0,498.41,2763.93
S00068,2025-01-17,CLT-ATL,BlueRidge LTL,70.0,6402,5M,21.35,none,0,300.7,1667.52
S00040,2025-02-06,CLT-ATL,Cardinal Motor Freight,150.0,3180,2M,42.71,none,0,298.83,1657.15
S00044,2025-02-07,CLT-ATL,Cardinal Motor Freight,85.0,7456,5M,18.72,none,0,307.05,1702.73
S00052,2025-02-12,CLT-ATL,Cardinal Motor Freight,200.0,4017,2M,47.47,liftgate;inside_delivery,245,419.55,2571.57
S00007,2025-02-20,CLT-ATL,Piedmont Freight Line,250.0,1020,1M,60.49,none,0,135.75,752.79
S00002,2025-02-21,CLT-ATL,Piedmont Freight Line,175.0,2280,2M,45.65,none,0,229.0,1269.91
S00048,2025-02-22,CLT-ATL,Cardinal Motor Freight,200.0,4463,2M,51.83,none,0,508.91,2822.16
S00049,2025-02-23,CLT-ATL,Cardinal Motor Freight,110.0,6720,5M,27.04,none,0,399.72,2216.62
S00074,2025-02-23,CLT-ATL,Palmetto Freight Systems,77.5,2003,2M,23.11,none,0,101.84,564.75
S00008,2025-02-28,CLT-ATL,Piedmont Freight Line,85.0,3371,2M,24.51,none,0,181.74,1007.83
S00079,2025-02-28,CLT-ATL,Palmetto Freight Systems,125.0,2945,2M,35.73,none,0,231.49,1283.71
S00038,2025-03-01,CLT-ATL,Cardinal Motor Freight,65.0,3090,2M,23.48,none,0,159.59,885.01
S00058,2025-03-01,CLT-ATL,Cardinal Motor Freight,125.0,5630,5M,27.74,none,0,343.65,1905.67
S00087,2025-03-01,CLT-ATL,Palmetto Freight Systems,125.0,7515,5M,31.04,none,0,513.25,2846.21
S00101,2025-03-02,CLT-ATL,Crossroads Freight Co,55.0,3924,2M,20.22,liftgate,95,174.55,1062.94
S00011,2025-03-03,CLT-ATL,Piedmont Freight Line,100.0,2542,2M,28.95,none,0,161.9,897.81
S00081,2025-03-04,CLT-ATL,Palmetto Freight Systems,70.0,7861,5M,18.04,none,0,312.0,1730.2
S00082,2025-03-16,CLT-ATL,Palmetto Freight Systems,60.0,6593,5M,14.81,none,0,214.79,1191.11
S00099,2025-03-17,CLT-ATL,Crossroads Freight Co,77.5,6724,5M,18.52,none,0,273.94,1519.12
S00089,2025-03-26,CLT-ATL,Palmetto Freight Systems,55.0,6560,5M,11.82,none,0,170.52,945.61
S00018,2025-03-30,CLT-ATL,Piedmont Freight Line,110.0,2174,2M,27.23,none,0,130.25,722.27
S00075,2025-03-30,CLT-ATL,Palmetto Freight Systems,60.0,5749,5M,16.68,none,0,210.91,1169.58
S00057,2025-04-05,CLT-ATL,Cardinal Motor Freight,150.0,2784,2M,42.52,none,0,260.4,1444.06
S00041,2025-04-06,CLT-ATL,Cardinal Motor Freight,55.0,455,L5C,26.44,none,0,26.46,146.75
S00106,2025-04-09,CLT-ATL,Crossroads Freight Co,60.0,1368,1M,26.35,none,0,79.31,439.79
S00028,2025-04-19,CLT-ATL,Piedmont Freight Line,55.0,2682,2M,20.03,none,0,118.21,655.52
S00064,2025-04-23,CLT-ATL,BlueRidge LTL,150.0,2259,2M,44.1,liftgate,95,219.15,1310.31
S00103,2025-04-24,CLT-ATL,Crossroads Freight Co,85.0,7807,5M,26.23,none,0,450.59,2498.7
S00001,2025-04-29,CLT-ATL,Piedmont Freight Line,175.0,7761,5M,36.4,residential;limited_access,195,621.56,3641.83
S00009,2025-04-29,CLT-ATL,Piedmont Freight Line,55.0,5051,5M,14.7,none,0,163.34,905.8
S00051,2025-05-01,CLT-ATL,Cardinal Motor Freight,100.0,4796,2M,33.09,none,0,349.17,1936.31
S00100,2025-05-07,CLT-ATL,Crossroads Freight Co,100.0,186,L5C,43.51,none,0,17.8,98.73
S00071,2025-05-13,CLT-ATL,Palmetto Freight Systems,175.0,1659,1M,47.87,liftgate,95,174.73,1063.96
S00073,2025-05-16,CLT-ATL,Palmetto Freight Systems,125.0,7378,5M,28.93,none,0,469.6,2604.14
S00026,2025-05-17,CLT-ATL,Piedmont Freight Line,50.0,741,M5C,24.19,none,0,39.43,218.65
S00005,2025-05-20,CLT-ATL,Piedmont Freight Line,55.0,898,M5C,26.74,none,0,52.82,292.94
S00069,2025-05-27,CLT-ATL,Palmetto Freight Systems,70.0,2877,2M,23.57,none,0,149.18,827.29
S00097,2025-06-04,CLT-ATL,Palmetto Freight Systems,150.0,4586,2M,42.69,none,0,430.69,2388.38
S00033,2025-06-06,CLT-ATL,Cardinal Motor Freight,85.0,1236,1M,27.96,none,0,76.03,421.64
S00090,2025-06-07,CLT-ATL,Palmetto Freight Systems,50.0,3223,2M,15.65,residential,110,110.98,725.42
S00053,2025-06-09,CLT-ATL,Cardinal Motor Freight,100.0,5992,5M,23.01,none,0,303.33,1682.08
S00046,2025-06-13,CLT-ATL,Cardinal Motor Freight,100.0,2656,2M,30.12,none,0,175.99,975.95
S00056,2025-06-16,CLT-ATL,Cardinal Motor Freight,60.0,7224,5M,17.22,liftgate,95,273.6,1612.24
S00085,2025-06-22,CLT-ATL,Palmetto Freight Systems,110.0,7921,5M,29.58,none,0,515.49,2858.6
S00023,2025-06-29,CLT-ATL,Piedmont Freight Line,77.5,2231,2M,24.02,none,0,117.92,653.91
S00021,2025-06-30,CLT-ATL,Piedmont Freight Line,200.0,7530,5M,39.52,limited_access,85,654.62,3715.15
S00012,2025-07-01,CLT-ATL,Piedmont Freight Line,92.5,5668,5M,20.43,none,0,254.8,1412.99
S00105,2025-07-01,CLT-ATL,Crossroads Freight Co,200.0,6717,5M,37.45,none,0,553.46,3069.2
S00022,2025-07-05,CLT-ATL,Piedmont Freight Line,65.0,3026,2M,18.71,none,0,124.55,690.68
S00072,2025-07-06,CLT-ATL,Palmetto Freight Systems,200.0,2741,2M,46.51,residential,110,280.47,1665.32
S00027,2025-07-09,CLT-ATL,Piedmont Freight Line,110.0,7498,5M,26.39,liftgate,95,435.35,2509.22
S00006,2025-07-10,CLT-ATL,Piedmont Freight Line,250.0,5748,5M,42.93,none,0,542.87,3010.49
S00013,2025-07-13,CLT-ATL,Piedmont Freight Line,50.0,1312,1M,20.24,liftgate,95,58.42,418.98
S00076,2025-07-15,CLT-ATL,Palmetto Freight Systems,100.0,5938,5M,27.28,none,0,356.37,1976.22
S00017,2025-07-17,CLT-ATL,Piedmont Freight Line,65.0,7533,5M,17.42,none,0,288.73,1601.15
S00032,2025-07-17,CLT-ATL,Cardinal Motor Freight,150.0,1844,1M,50.47,residential;inside_delivery,260,204.75,1395.42
S00030,2025-07-18,CLT-ATL,Cardinal Motor Freight,250.0,3098,2M,73.82,liftgate;inside_delivery,245,503.13,3035.07
S00084,2025-07-20,CLT-ATL,Palmetto Freight Systems,125.0,7466,5M,19.68,none,0,323.26,1792.61
S00059,2025-07-21,CLT-ATL,Cardinal Motor Freight,200.0,748,M5C,68.24,none,0,112.29,622.69
S00035,2025-07-26,CLT-ATL,Cardinal Motor Freight,92.5,7486,5M,23.38,limited_access,85,385.01,2220.08
S00094,2025-07-26,CLT-ATL,Palmetto Freight Systems,70.0,3967,2M,21.17,inside_delivery,150,184.79,1174.73
S00020,2025-07-31,CLT-ATL,Piedmont Freight Line,92.5,7118,5M,22.65,none,0,354.65,1966.69
S00043,2025-07-31,CLT-ATL,Cardinal Motor Freight,100.0,4451,2M,33.84,none,0,331.36,1837.52
S00083,2025-08-01,CLT-ATL,Palmetto Freight Systems,110.0,2690,2M,33.13,none,0,196.04,1087.12
S00077,2025-08-03,CLT-ATL,Palmetto Freight Systems,100.0,7140,5M,29.39,none,0,461.6,2559.8
S00088,2025-08-03,CLT-ATL,Palmetto Freight Systems,70.0,1613,1M,31.56,none,0,112.01,621.15
S00096,2025-08-05,CLT-ATL,Palmetto Freight Systems,150.0,7308,5M,31.19,none,0,501.48,2780.91
S00078,2025-08-10,CLT-ATL,Palmetto Freight Systems,92.5,4754,2M,30.19,none,0,315.75,1750.98
S00063,2025-08-14,CLT-ATL,BlueRidge LTL,60.0,2091,2M,20.81,none,0,95.75,530.97
S00065,2025-08-15,CLT-ATL,BlueRidge LTL,50.0,4482,2M,20.83,inside_delivery,150,205.4,1289.04
S00004,2025-08-16,CLT-ATL,Piedmont Freight Line,60.0,6204,5M,15.89,liftgate,95,216.85,1297.53
S00066,2025-08-21,CLT-ATL,BlueRidge LTL,55.0,6469,5M,17.41,none,0,247.76,1373.92
S00016,2025-08-24,CLT-ATL,Piedmont Freight Line,60.0,4788,2M,19.77,residential,110,208.29,1265.06
S00102,2025-08-31,CLT-ATL,Crossroads Freight Co,70.0,7331,5M,20.73,limited_access,85,334.37,1939.24
S00015,2025-09-11,CLT-ATL,Piedmont Freight Line,92.5,3841,2M,26.41,none,0,223.13,1237.38
S00055,2025-09-12,CLT-ATL,Cardinal Motor Freight,70.0,2135,2M,22.25,none,0,104.52,579.64
S00003,2025-09-17,CLT-ATL,Piedmont Freight Line,250.0,1447,1M,64.84,inside_delivery,150,206.41,1294.62
S00034,2025-09-18,CLT-ATL,Cardinal Motor Freight,150.0,3360,2M,35.44,none,0,262.0,1452.92
S00092,2025-09-18,CLT-ATL,Palmetto Freight Systems,77.5,6056,5M,18.61,none,0,247.97,1375.09
S00014,2025-09-23,CLT-ATL,Piedmont Freight Line,110.0,7887,5M,26.03,none,0,451.61,2504.36
S00060,2025-10-01,CLT-ATL,BlueRidge LTL,85.0,3378,2M,29.36,none,0,218.16,1209.81
S00062,2025-10-04,CLT-ATL,BlueRidge LTL,50.0,4344,2M,19.95,none,0,190.66,1057.31
S00091,2025-10-15,CLT-ATL,Palmetto Freight Systems,60.0,5077,5M,14.87,none,0,166.13,921.27
S00093,2025-10-19,CLT-ATL,Palmetto Freight Systems,70.0,7032,5M,20.89,liftgate,95,323.11,1886.81
S00042,2025-10-21,CLT-ATL,Cardinal Motor Freight,85.0,1077,1M,33.19,none,0,78.63,436.05
S00010,2025-10-26,CLT-ATL,Piedmont Freight Line,85.0,7184,5M,20.15,none,0,318.39,1765.62
S00039,2025-10-27,CLT-ATL,Cardinal Motor Freight,92.5,7559,5M,24.83,none,0,412.84,2289.39
S00031,2025-10-30,CLT-ATL,Cardinal Motor Freight,175.0,6735,5M,36.81,liftgate,95,545.41,3119.55
S00098,2025-11-03,CLT-ATL,Crossroads Freight Co,200.0,7484,5M,43.92,none,0,723.21,4010.54
S00045,2025-11-06,CLT-ATL,Cardinal Motor Freight,50.0,4344,2M,15.04,residential;inside_delivery,260,143.78,1057.31
S00036,2025-11-09,CLT-ATL,Cardinal Motor Freight,60.0,6099,5M,19.62,liftgate;inside_delivery;limited_access,330,263.29,1790.04
S00067,2025-11-11,CLT-ATL,BlueRidge LTL,250.0,3584,2M,61.78,none,0,487.09,2701.15
S00061,2025-11-12,CLT-ATL,BlueRidge LTL,100.0,7763,5M,27.38,none,0,467.58,2592.92
S00019,2025-11-20,CLT-ATL,Piedmont Freight Line,200.0,7193,5M,40.32,none,0,638.01,3538.04
S00037,2025-11-20,CLT-ATL,Cardinal Motor Freight,65.0,1526,1M,24.66,inside_delivery,150,82.8,609.17
S00029,2025-11-21,CLT-ATL,Piedmont Freight Line,110.0,6509,5M,26.24,none,0,375.82,2084.09
S00086,2025-12-07,CLT-ATL,Palmetto Freight Systems,85.0,6385,5M,19.65,liftgate,95,276.07,1625.94
