shipment_id,quote_date,lane_id,carrier_name,nmfc_class,class_band,weight_lbs,base_cwt_rate,benchmark_loo,other_quotes,rate_index_loo
S00592,2025-05-11,DFW-ATL,BlueRidge LTL,175.0,vhigh,1243,49.08,35.73,4,137.4
S00212,2025-03-20,GSO-BNA,Palmetto Freight Systems,150.0,high,2597,27.44,36.58,5,75.0
S00206,2025-11-15,GSO-BNA,Palmetto Freight Systems,125.0,high,2026,30.64,36.58,5,83.8
S00222,2025-03-24,GSO-BNA,Palmetto Freight Systems,150.0,high,6282,23.41,36.58,5,64.0
S00224,2025-05-22,GSO-BNA,Palmetto Freight Systems,125.0,high,5323,22.81,36.58,5,62.4
S00242,2025-03-28,ATL-MCO,Cardinal Motor Freight,250.0,vhigh,6627,40.36,38.57,5,104.6
S00266,2025-10-28,ATL-MCO,Cardinal Motor Freight,250.0,vhigh,5300,38.13,38.57,5,98.9
S00243,2025-08-21,ATL-MCO,Cardinal Motor Freight,250.0,vhigh,1881,58.39,38.57,5,151.4
S00269,2025-06-14,ATL-MCO,Cardinal Motor Freight,200.0,vhigh,1514,48.92,38.57,5,126.8
S00238,2025-01-01,ATL-MCO,Cardinal Motor Freight,175.0,vhigh,5200,26.99,38.57,5,70.0
S00254,2025-11-10,ATL-MCO,Cardinal Motor Freight,250.0,vhigh,2120,41.51,38.57,5,107.6
S00244,2025-08-03,ATL-MCO,Cardinal Motor Freight,250.0,vhigh,1078,55.13,38.57,5,142.9
S00248,2025-01-26,ATL-MCO,Cardinal Motor Freight,200.0,vhigh,4940,39.66,38.57,5,102.8
S00974,2025-04-22,JFK-BOS,Piedmont Freight Line,250.0,vhigh,3937,57.29,54.24,5,105.6
S00984,2025-07-12,JFK-BOS,Cardinal Motor Freight,250.0,vhigh,785,76.16,54.24,5,140.4
S01024,2025-06-27,JFK-BOS,Palmetto Freight Systems,250.0,vhigh,6691,43.82,57.29,5,76.5
S00284,2025-08-27,ATL-MCO,Crossroads Freight Co,60.0,low,2013,18.17,15.0,6,121.1
S00285,2025-01-15,ATL-MCO,Crossroads Freight Co,55.0,low,2281,15.84,15.0,6,105.6
S00288,2025-04-18,ATL-MCO,Crossroads Freight Co,65.0,low,998,18.52,15.0,6,123.5
S00124,2025-12-27,CLT-RIC,BlueRidge LTL,70.0,low,5584,22.86,18.3,6,124.9
S00120,2025-10-09,CLT-RIC,BlueRidge LTL,60.0,low,4821,22.98,18.3,6,125.6
S00142,2025-09-16,CLT-RIC,BlueRidge LTL,50.0,low,7047,17.16,18.3,6,93.8
S00141,2025-11-12,CLT-RIC,BlueRidge LTL,50.0,low,632,26.62,18.3,6,145.5
S00132,2025-03-27,CLT-RIC,BlueRidge LTL,50.0,low,2024,18.86,18.3,6,103.1
S00121,2025-01-29,CLT-RIC,BlueRidge LTL,70.0,low,2853,23.3,18.3,6,127.3
S00118,2025-09-20,CLT-RIC,BlueRidge LTL,70.0,low,4884,26.56,18.3,6,145.1
S00188,2025-03-30,GSO-BNA,Cardinal Motor Freight,125.0,high,293,43.41,27.44,6,158.2
S00169,2025-08-19,GSO-BNA,Cardinal Motor Freight,150.0,high,3163,34.56,27.44,6,125.9
S00189,2025-09-02,GSO-BNA,Cardinal Motor Freight,125.0,high,3133,27.86,27.44,6,101.5
S00502,2025-02-04,ORD-CLT,Cardinal Motor Freight,125.0,high,4593,26.46,32.39,6,81.7
S00530,2025-12-18,ORD-CLT,Cardinal Motor Freight,150.0,high,3627,34.75,32.39,6,107.3
S00524,2025-07-17,ORD-CLT,Cardinal Motor Freight,125.0,high,150,33.33,32.39,6,102.9
S00084,2025-07-20,CLT-ATL,Palmetto Freight Systems,125.0,high,7466,19.68,42.52,6,46.3
S00087,2025-03-01,CLT-ATL,Palmetto Freight Systems,125.0,high,7515,31.04,42.52,6,73.0
S00096,2025-08-05,CLT-ATL,Palmetto Freight Systems,150.0,high,7308,31.19,42.52,6,73.4
S00073,2025-05-16,CLT-ATL,Palmetto Freight Systems,125.0,high,7378,28.93,42.52,6,68.0
S00097,2025-06-04,CLT-ATL,Palmetto Freight Systems,150.0,high,4586,42.69,42.52,6,100.4
S00080,2025-01-07,CLT-ATL,Palmetto Freight Systems,125.0,high,839,48.92,42.52,6,115.1
S00079,2025-02-28,CLT-ATL,Palmetto Freight Systems,125.0,high,2945,35.73,42.52,6,84.0
S00146,2025-10-03,CLT-RIC,Crossroads Freight Co,200.0,vhigh,294,80.72,43.66,6,184.9
S00145,2025-02-09,CLT-RIC,Crossroads Freight Co,175.0,vhigh,4992,47.5,43.66,6,108.8
S00136,2025-12-05,CLT-RIC,BlueRidge LTL,110.0,mid,6269,30.13,22.05,7,136.6
S00117,2025-03-09,CLT-RIC,BlueRidge LTL,85.0,mid,4650,27.71,22.05,7,125.7
S00127,2025-11-20,CLT-RIC,BlueRidge LTL,85.0,mid,3722,31.97,22.05,7,145.0
S00119,2025-07-17,CLT-RIC,BlueRidge LTL,85.0,mid,4941,28.04,22.05,7,127.2
S00137,2025-08-16,CLT-RIC,BlueRidge LTL,110.0,mid,4271,35.55,22.05,7,161.2
S00126,2025-11-11,CLT-RIC,BlueRidge LTL,85.0,mid,2484,27.35,22.05,7,124.0
S00129,2025-01-01,CLT-RIC,BlueRidge LTL,100.0,mid,5942,22.65,22.05,7,102.7
S00134,2025-12-28,CLT-RIC,BlueRidge LTL,85.0,mid,7051,22.04,22.05,7,100.0
S00133,2025-08-03,CLT-RIC,BlueRidge LTL,100.0,mid,2326,32.22,22.05,7,146.1
S00420,2025-11-28,ATL-EWR,Piedmont Freight Line,150.0,high,5976,20.19,23.01,7,87.7
S00422,2025-06-05,ATL-EWR,Piedmont Freight Line,125.0,high,2276,20.82,23.01,7,90.5
S00423,2025-12-16,ATL-EWR,Piedmont Freight Line,150.0,high,5836,20.16,23.01,7,87.6
S00435,2025-01-20,ATL-EWR,Piedmont Freight Line,125.0,high,7601,17.07,23.01,7,74.2
S00438,2025-06-28,ATL-EWR,Piedmont Freight Line,125.0,high,5642,16.99,23.01,7,73.8
S00436,2025-08-07,ATL-EWR,Piedmont Freight Line,125.0,high,5622,18.38,23.01,7,79.9
S00431,2025-07-25,ATL-EWR,Piedmont Freight Line,150.0,high,5286,20.4,23.01,7,88.7
S00513,2025-07-06,ORD-CLT,Cardinal Motor Freight,250.0,vhigh,3846,40.47,42.04,7,96.3
S00512,2025-10-26,ORD-CLT,Cardinal Motor Freight,250.0,vhigh,5559,31.62,42.04,7,75.2
S00534,2025-07-13,ORD-CLT,Cardinal Motor Freight,175.0,vhigh,7973,29.75,42.04,7,70.8
S00511,2025-01-09,ORD-CLT,Cardinal Motor Freight,175.0,vhigh,5157,25.81,42.04,7,61.4
S00519,2025-02-25,ORD-CLT,Cardinal Motor Freight,175.0,vhigh,343,57.07,42.04,7,135.8
S00503,2025-06-14,ORD-CLT,Cardinal Motor Freight,175.0,vhigh,6684,28.05,42.04,7,66.7
S00516,2025-06-24,ORD-CLT,Cardinal Motor Freight,175.0,vhigh,4907,35.39,42.04,7,84.2
S00529,2025-10-08,ORD-CLT,Cardinal Motor Freight,175.0,vhigh,2165,34.72,42.04,7,82.6
S00505,2025-10-05,ORD-CLT,Cardinal Motor Freight,175.0,vhigh,3620,32.95,42.04,7,78.4
S00504,2025-11-14,ORD-CLT,Cardinal Motor Freight,175.0,vhigh,5067,30.6,42.04,7,72.8
S00532,2025-05-26,ORD-CLT,Cardinal Motor Freight,200.0,vhigh,527,61.76,42.04,7,146.9
S00114,2025-11-25,CLT-RIC,Piedmont Freight Line,175.0,vhigh,3310,43.66,47.5,7,91.9
S00282,2025-01-31,ATL-MCO,BlueRidge LTL,65.0,low,6968,15.0,15.84,8,94.7
S01000,2025-07-03,JFK-BOS,BlueRidge LTL,60.0,low,1798,23.33,19.66,8,118.7
S01014,2025-02-08,JFK-BOS,BlueRidge LTL,55.0,low,1066,25.86,19.66,8,131.5
S00990,2025-06-07,JFK-BOS,BlueRidge LTL,55.0,low,2167,22.68,19.66,8,115.4
S01010,2025-12-08,JFK-BOS,BlueRidge LTL,65.0,low,7198,19.97,19.66,8,101.6
S01002,2025-02-17,JFK-BOS,BlueRidge LTL,50.0,low,1886,25.67,19.66,8,130.6
S01005,2025-04-29,JFK-BOS,BlueRidge LTL,60.0,low,2615,21.16,19.66,8,107.6
S00999,2025-06-30,JFK-BOS,BlueRidge LTL,65.0,low,1910,25.44,19.66,8,129.4
S01011,2025-10-04,JFK-BOS,BlueRidge LTL,70.0,low,7863,19.19,19.66,8,97.6
S00994,2025-09-06,JFK-BOS,BlueRidge LTL,50.0,low,3848,19.35,19.66,8,98.4
S00463,2025-03-28,ATL-EWR,BlueRidge LTL,150.0,high,4085,23.9,20.16,8,118.6
S00454,2025-08-30,ATL-EWR,BlueRidge LTL,150.0,high,3993,23.01,20.16,8,114.1
S00470,2025-12-09,ATL-EWR,BlueRidge LTL,125.0,high,6818,21.08,20.16,8,104.6
S00457,2025-07-09,ATL-EWR,BlueRidge LTL,125.0,high,2799,24.85,20.16,8,123.3
S00465,2025-07-26,ATL-EWR,BlueRidge LTL,125.0,high,6441,21.55,20.16,8,106.9
S00448,2025-02-22,ATL-EWR,BlueRidge LTL,125.0,high,4572,24.51,20.16,8,121.6
S00292,2025-04-04,ATL-MCO,Crossroads Freight Co,125.0,high,166,49.6,25.68,8,193.1
S00290,2025-09-24,ATL-MCO,Crossroads Freight Co,125.0,high,502,41.76,25.68,8,162.6
S00375,2025-02-13,CLT-CMH,Palmetto Freight Systems,125.0,high,4083,28.5,27.71,8,102.9
S00374,2025-03-27,CLT-CMH,Palmetto Freight Systems,125.0,high,6736,23.98,27.71,8,86.5
S00362,2025-11-02,CLT-CMH,Palmetto Freight Systems,125.0,high,691,38.14,27.71,8,137.6
S00360,2025-11-22,CLT-CMH,Palmetto Freight Systems,150.0,high,6106,22.99,27.71,8,83.0
S00366,2025-04-21,CLT-CMH,Palmetto Freight Systems,150.0,high,1910,34.07,27.71,8,123.0
S00369,2025-08-19,CLT-CMH,Palmetto Freight Systems,125.0,high,2261,21.72,27.71,8,78.4
S00353,2025-07-21,CLT-CMH,Palmetto Freight Systems,125.0,high,7687,24.17,27.71,8,87.2
S00379,2025-01-31,CLT-CMH,Palmetto Freight Systems,125.0,high,3381,27.12,27.71,8,97.9
S00370,2025-12-07,CLT-CMH,Palmetto Freight Systems,125.0,high,6108,23.0,27.71,8,83.0
S00203,2025-12-29,GSO-BNA,BlueRidge LTL,150.0,high,2878,36.58,27.86,8,131.3
S00232,2025-09-23,GSO-BNA,Crossroads Freight Co,150.0,high,572,45.3,27.86,8,162.6
S00040,2025-02-06,CLT-ATL,Cardinal Motor Freight,150.0,high,3180,42.71,31.19,8,136.9
S00058,2025-03-01,CLT-ATL,Cardinal Motor Freight,125.0,high,5630,27.74,31.19,8,88.9
S00032,2025-07-17,CLT-ATL,Cardinal Motor Freight,150.0,high,1844,50.47,31.19,8,161.8
S00057,2025-04-05,CLT-ATL,Cardinal Motor Freight,150.0,high,2784,42.52,31.19,8,136.3
S00034,2025-09-18,CLT-ATL,Cardinal Motor Freight,150.0,high,3360,35.44,31.19,8,113.6
S00720,2025-01-01,ORD-DFW,Crossroads Freight Co,125.0,high,6686,18.93,19.89,9,95.2
S00746,2025-10-31,ORD-DFW,Crossroads Freight Co,125.0,high,5796,14.64,19.89,9,73.6
S00740,2025-07-04,ORD-DFW,Crossroads Freight Co,150.0,high,7007,22.93,19.89,9,115.3
S00728,2025-04-24,ORD-DFW,Crossroads Freight Co,125.0,high,7295,18.4,19.89,9,92.5
S00270,2025-11-04,ATL-MCO,Cardinal Motor Freight,110.0,mid,4968,26.21,20.84,9,125.8
S00252,2025-08-27,ATL-MCO,Cardinal Motor Freight,110.0,mid,3437,24.83,20.84,9,119.1
S00255,2025-02-21,ATL-MCO,Cardinal Motor Freight,110.0,mid,4408,25.67,20.84,9,123.2
S00237,2025-05-15,ATL-MCO,Cardinal Motor Freight,100.0,mid,4500,21.0,20.84,9,100.8
S00239,2025-08-23,ATL-MCO,Cardinal Motor Freight,85.0,mid,175,27.59,20.84,9,132.4
S00262,2025-10-17,ATL-MCO,Cardinal Motor Freight,100.0,mid,3258,22.54,20.84,9,108.2
S00245,2025-01-21,ATL-MCO,Cardinal Motor Freight,100.0,mid,4589,24.55,20.84,9,117.8
S00263,2025-05-13,ATL-MCO,Cardinal Motor Freight,85.0,mid,4965,21.31,20.84,9,102.3
S00253,2025-09-20,ATL-MCO,Cardinal Motor Freight,110.0,mid,1650,27.06,20.84,9,129.8
S00267,2025-04-25,ATL-MCO,Cardinal Motor Freight,110.0,mid,773,32.23,20.84,9,154.7
S00258,2025-11-18,ATL-MCO,Cardinal Motor Freight,110.0,mid,2742,23.8,20.84,9,114.2
S00250,2025-07-14,ATL-MCO,Cardinal Motor Freight,100.0,mid,3977,22.24,20.84,9,106.7
S00240,2025-08-07,ATL-MCO,Cardinal Motor Freight,92.5,mid,967,31.67,20.84,9,152.0
S00256,2025-07-19,ATL-MCO,Cardinal Motor Freight,77.5,mid,6822,16.94,20.84,9,81.3
S00257,2025-11-15,ATL-MCO,Cardinal Motor Freight,92.5,mid,6327,17.34,20.84,9,83.2
S00113,2025-07-17,CLT-RIC,Piedmont Freight Line,50.0,low,6967,14.91,22.86,9,65.2
S00115,2025-03-17,CLT-RIC,Piedmont Freight Line,55.0,low,2287,18.59,22.86,9,81.3
S00107,2025-01-08,CLT-RIC,Piedmont Freight Line,55.0,low,3358,19.27,22.86,9,84.3
S00111,2025-08-16,CLT-RIC,Piedmont Freight Line,55.0,low,7157,14.77,22.86,9,64.6
S00273,2025-01-22,ATL-MCO,BlueRidge LTL,250.0,vhigh,687,63.6,40.36,9,157.6
S00274,2025-06-13,ATL-MCO,BlueRidge LTL,250.0,vhigh,2193,52.67,40.36,9,130.5
S00276,2025-10-03,ATL-MCO,BlueRidge LTL,200.0,vhigh,7356,34.29,40.36,9,85.0
S00281,2025-11-29,ATL-MCO,BlueRidge LTL,200.0,vhigh,6867,33.39,40.36,9,82.7
S00916,2025-02-10,DFW-IAH,BlueRidge LTL,175.0,vhigh,1182,59.16,51.06,9,115.9
S00917,2025-02-22,DFW-IAH,BlueRidge LTL,200.0,vhigh,2843,52.43,51.06,9,102.7
S00924,2025-05-05,DFW-IAH,BlueRidge LTL,250.0,vhigh,6624,50.67,51.06,9,99.2
S00903,2025-04-29,DFW-IAH,BlueRidge LTL,175.0,vhigh,4639,52.81,51.06,9,103.4
S00922,2025-01-27,DFW-IAH,BlueRidge LTL,250.0,vhigh,7180,55.56,51.06,9,108.8
S00934,2025-04-19,DFW-IAH,BlueRidge LTL,175.0,vhigh,6866,42.65,51.06,9,83.5
S00930,2025-12-29,DFW-IAH,BlueRidge LTL,200.0,vhigh,4672,54.4,51.06,9,106.5
S00935,2025-12-27,DFW-IAH,BlueRidge LTL,200.0,vhigh,4892,46.91,51.06,9,91.9
S00705,2025-08-03,ORD-DFW,BlueRidge LTL,125.0,high,5495,19.89,19.35,10,102.8
S00696,2025-01-20,ORD-DFW,Cardinal Motor Freight,125.0,high,3676,19.5,19.35,10,100.8
S00681,2025-05-22,ORD-DFW,Cardinal Motor Freight,125.0,high,5699,19.48,19.35,10,100.7
S00707,2025-10-26,ORD-DFW,BlueRidge LTL,150.0,high,6306,23.4,19.35,10,120.9
S00682,2025-12-16,ORD-DFW,Cardinal Motor Freight,150.0,high,3744,25.92,19.35,10,134.0
S00702,2025-02-11,ORD-DFW,BlueRidge LTL,125.0,high,3172,25.99,19.35,10,134.3
S00643,2025-05-18,ORD-DFW,Piedmont Freight Line,125.0,high,6296,17.21,19.5,10,88.3
S00650,2025-12-07,ORD-DFW,Piedmont Freight Line,150.0,high,7714,19.35,19.5,10,99.2
S00660,2025-12-15,ORD-DFW,Piedmont Freight Line,150.0,high,1958,29.5,19.5,10,151.3
S00150,2025-11-03,CLT-RIC,Crossroads Freight Co,50.0,low,952,21.2,19.27,11,110.0
S00149,2025-12-30,CLT-RIC,Crossroads Freight Co,65.0,low,6102,18.3,19.27,11,95.0
S00546,2025-07-26,ORD-CLT,BlueRidge LTL,77.5,mid,5000,14.11,22.98,11,61.4
S00538,2025-10-25,ORD-CLT,BlueRidge LTL,77.5,mid,3190,20.19,22.98,11,87.9
S00556,2025-12-05,ORD-CLT,BlueRidge LTL,100.0,mid,1453,31.16,22.98,11,135.6
S00560,2025-09-24,ORD-CLT,BlueRidge LTL,100.0,mid,5232,22.09,22.98,11,96.1
S00539,2025-11-13,ORD-CLT,BlueRidge LTL,110.0,mid,5884,22.05,22.98,11,96.0
S00561,2025-06-03,ORD-CLT,BlueRidge LTL,92.5,mid,3284,23.68,22.98,11,103.0
S00536,2025-01-23,ORD-CLT,BlueRidge LTL,100.0,mid,2119,27.11,22.98,11,118.0
S00549,2025-07-17,ORD-CLT,BlueRidge LTL,92.5,mid,4504,23.84,22.98,11,103.7
S00553,2025-11-17,ORD-CLT,BlueRidge LTL,92.5,mid,6737,19.15,22.98,11,83.3
S00778,2025-10-13,LAX-PHX,Piedmont Freight Line,125.0,high,6444,22.22,27.95,11,79.5
S00764,2025-09-18,LAX-PHX,Piedmont Freight Line,150.0,high,2945,30.47,27.95,11,109.0
S00757,2025-07-15,LAX-PHX,Piedmont Freight Line,125.0,high,1585,28.25,27.95,11,101.1
S00776,2025-04-14,LAX-PHX,Piedmont Freight Line,125.0,high,6447,21.89,27.95,11,78.3
S00758,2025-10-28,LAX-PHX,Piedmont Freight Line,125.0,high,1273,33.05,27.95,11,118.2
S00763,2025-08-13,LAX-PHX,Piedmont Freight Line,150.0,high,2480,30.37,27.95,11,108.7
S00108,2025-10-21,CLT-RIC,Piedmont Freight Line,77.5,mid,2813,24.48,28.04,11,87.3
S00112,2025-10-12,CLT-RIC,Piedmont Freight Line,77.5,mid,6224,19.95,28.04,11,71.1
S00109,2025-11-24,CLT-RIC,Piedmont Freight Line,92.5,mid,5819,22.05,28.04,11,78.6
S00110,2025-08-23,CLT-RIC,Piedmont Freight Line,85.0,mid,5120,20.73,28.04,11,73.9
S00116,2025-08-20,CLT-RIC,Piedmont Freight Line,110.0,mid,1249,34.76,28.04,11,124.0
S00737,2025-02-16,ORD-DFW,Crossroads Freight Co,200.0,vhigh,3942,32.58,32.53,11,100.2
S00722,2025-03-11,ORD-DFW,Crossroads Freight Co,250.0,vhigh,1764,36.49,32.53,11,112.2
S00723,2025-10-18,ORD-DFW,Crossroads Freight Co,175.0,vhigh,2517,27.74,32.53,11,85.3
S00730,2025-01-11,ORD-DFW,Crossroads Freight Co,200.0,vhigh,7310,26.33,32.53,11,80.9
S00731,2025-03-05,ORD-DFW,Crossroads Freight Co,175.0,vhigh,2501,27.0,32.53,11,83.0
S00716,2025-09-03,ORD-DFW,Crossroads Freight Co,175.0,vhigh,2680,30.08,32.53,11,92.5
S00718,2025-01-06,ORD-DFW,Crossroads Freight Co,200.0,vhigh,6230,23.6,32.53,11,72.5
S00735,2025-01-20,ORD-DFW,Crossroads Freight Co,200.0,vhigh,876,38.45,32.53,11,118.2
S00437,2025-01-10,ATL-EWR,Piedmont Freight Line,250.0,vhigh,1752,40.09,36.74,11,109.1
S00439,2025-08-05,ATL-EWR,Piedmont Freight Line,200.0,vhigh,7070,25.89,36.74,11,70.5
S00443,2025-07-21,ATL-EWR,Piedmont Freight Line,200.0,vhigh,1154,33.48,36.74,11,91.1
S00410,2025-09-05,ATL-EWR,Piedmont Freight Line,175.0,vhigh,3596,24.22,36.74,11,65.9
S00416,2025-09-24,ATL-EWR,Piedmont Freight Line,250.0,vhigh,1967,39.99,36.74,11,108.8
S00418,2025-01-18,ATL-EWR,Piedmont Freight Line,200.0,vhigh,6762,21.74,36.74,11,59.2
S00441,2025-02-15,ATL-EWR,Piedmont Freight Line,200.0,vhigh,4834,30.33,36.74,11,82.6
S00425,2025-10-27,ATL-EWR,Piedmont Freight Line,175.0,vhigh,6633,20.16,36.74,11,54.9
S00430,2025-01-05,ATL-EWR,Piedmont Freight Line,175.0,vhigh,2647,25.76,36.74,11,70.1
S00429,2025-01-15,ATL-EWR,Piedmont Freight Line,175.0,vhigh,677,38.44,36.74,11,104.6
S00787,2025-10-21,LAX-PHX,Cardinal Motor Freight,200.0,vhigh,3307,39.26,39.8,11,98.6
S00783,2025-12-21,LAX-PHX,Cardinal Motor Freight,200.0,vhigh,4558,38.02,39.8,11,95.5
S00788,2025-05-29,LAX-PHX,Cardinal Motor Freight,200.0,vhigh,4233,37.46,39.8,11,94.1
S00809,2025-12-29,LAX-PHX,Cardinal Motor Freight,250.0,vhigh,7589,38.34,39.8,11,96.3
S00803,2025-04-15,LAX-PHX,Cardinal Motor Freight,200.0,vhigh,4374,34.79,39.8,11,87.4
S00801,2025-01-30,LAX-PHX,Cardinal Motor Freight,175.0,vhigh,4680,34.98,39.8,11,87.9
S00805,2025-12-03,LAX-PHX,Cardinal Motor Freight,175.0,vhigh,7843,32.53,39.8,11,81.7
S00629,2025-03-30,DFW-ATL,Palmetto Freight Systems,200.0,vhigh,2129,33.7,44.65,11,75.5
S00628,2025-07-15,DFW-ATL,Palmetto Freight Systems,175.0,vhigh,3256,35.73,44.65,11,80.0
S00609,2025-08-27,DFW-ATL,Palmetto Freight Systems,250.0,vhigh,7045,45.51,44.65,11,101.9
S00617,2025-01-21,DFW-ATL,Palmetto Freight Systems,250.0,vhigh,1012,49.71,44.65,11,111.3
S00528,2025-09-11,ORD-CLT,Cardinal Motor Freight,92.5,mid,2624,22.98,22.05,12,104.2
S00507,2025-11-23,ORD-CLT,Cardinal Motor Freight,77.5,mid,422,31.74,22.05,12,143.9
S00518,2025-07-30,ORD-CLT,Cardinal Motor Freight,77.5,mid,2473,19.33,22.05,12,87.7
S00525,2025-05-23,ORD-CLT,Cardinal Motor Freight,92.5,mid,7171,19.36,22.05,12,87.8
S00520,2025-10-17,ORD-CLT,Cardinal Motor Freight,77.5,mid,5760,13.13,22.05,12,59.5
S00527,2025-11-10,ORD-CLT,Cardinal Motor Freight,110.0,mid,666,33.94,22.05,12,153.9
S00523,2025-04-20,ORD-CLT,Cardinal Motor Freight,85.0,mid,1141,23.62,22.05,12,107.1
S00510,2025-07-30,ORD-CLT,Cardinal Motor Freight,100.0,mid,1376,26.78,22.05,12,121.5
S00881,2025-07-26,DFW-IAH,Piedmont Freight Line,150.0,high,6165,29.05,32.5,12,89.4
S00879,2025-08-21,DFW-IAH,Piedmont Freight Line,125.0,high,1800,44.67,32.5,12,137.4
S00868,2025-02-01,DFW-IAH,Piedmont Freight Line,125.0,high,1401,42.73,32.5,12,131.5
S00884,2025-11-07,DFW-IAH,Piedmont Freight Line,125.0,high,7474,25.4,32.5,12,78.2
S00878,2025-11-13,DFW-IAH,Piedmont Freight Line,125.0,high,6077,30.11,32.5,12,92.6
S00874,2025-07-06,DFW-IAH,Piedmont Freight Line,125.0,high,7502,29.67,32.5,12,91.3
